subjects;time;condition;modulation_evoked;amplitude_evoked;RDK_electrodes
23;[1000 1750]ms;nonprimed;24.4844180767479;1.9521563044938;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
23;[250 1000]ms;not attended;-14.2980594249935;1.37012087807213;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
23;[1000 1750]ms;not attended;4.64993330047712;1.61547865490733;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[250 1000]ms;primed;16.0669082775968;3.34204998335887;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[1000 1750]ms;primed;-0.347307990916406;3.07669051856929;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[250 1000]ms;nonprimed;-8.44150855614967;2.8173375322237;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[1000 1750]ms;nonprimed;9.53307805356291;3.25966097071408;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[250 1000]ms;not attended;-4.94011390086302;2.93769674407657;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
24;[1000 1750]ms;not attended;-0.957855012408647;3.02541467987795;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[250 1000]ms;primed;24.0525935408995;3.12107777144901;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[1000 1750]ms;primed;15.5844265685458;2.95752341210637;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[250 1000]ms;nonprimed;-6.44110520434953;2.44866722084812;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[1000 1750]ms;nonprimed;8.26695279485172;2.74945893750568;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[250 1000]ms;not attended;-9.20531581357582;2.32659419828264;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
25;[1000 1750]ms;not attended;8.5037886359028;2.55264867376216;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
26;[250 1000]ms;primed;13.0579961108178;1.82973602690648;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
26;[1000 1750]ms;primed;1.1543292524069;1.6418161089068;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
26;[250 1000]ms;nonprimed;-21.057033154563;1.48230570206527;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
26;[1000 1750]ms;nonprimed;-15.8898529408314;1.64601016577167;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
